Pf,Pc
1.049224491276352922e-01,1.039030361277868686e-01
8.104561992897298117e-02,9.247804794053961219e-02
1.323280807993246766e-01,1.212346036025628432e-01
2.168946975557682275e-02,1.792281430303447817e-02
1.013398773033012401e-01,9.421978359971207306e-02
1.273861044450388391e-01,1.284221164216875766e-01
2.167810457006683067e-01,2.059755834346993497e-01
2.351421877740484112e-01,2.522340149720566083e-01
3.819367696914910404e-02,3.248811779575309228e-02
8.930033858419341233e-03,1.052991628785975887e-02
8.316213031357862218e-02,9.118161403294140765e-02
1.457771659523300067e-01,1.196083661588434321e-01
4.687275607240469141e-03,8.622007538664796036e-03
3.424670549593009788e-02,4.084061840538484589e-02
5.477689769103973871e-01,5.752802483802826883e-01
1.797005237354065699e-02,1.560288653571806176e-02
8.721990940456443575e-02,8.986478781927424719e-02
1.066593338379907222e-03,1.668334609074575547e-03
6.597326301978193031e-02,6.329009562748888484e-02
1.116259004106266717e-01,1.027671350989668164e-01
4.763324527209007730e-02,4.935987551605277440e-02
3.731362619334615199e-05,3.713839443906544148e-04
8.762559334303320069e-02,1.218576516560063577e-01
9.661222459773440019e-02,1.150449599834168085e-01
4.509289926694686618e-02,4.592942655725933826e-02
2.317679370590675081e-01,1.941111709553750286e-01
3.175309940830429306e-02,1.898170730745936396e-02
6.969655309363022300e-02,6.775203230003919164e-02
3.692513427270220916e-01,3.448639273163856545e-01
5.189017579434260750e-03,3.455035758249821835e-03
1.081263212810468742e-02,7.421058498603885951e-03
4.345192189169170272e-01,3.833441795496420057e-01
1.373525981891140224e-01,1.292285295705478121e-01
4.629076125568012262e-02,5.957430392968585814e-02
1.438152176307412600e-02,1.497826472073025134e-02
1.236308630298028621e-01,1.175046455048995853e-01
3.344526085178929908e-01,3.093272716545092949e-01
2.746387744970977263e-01,2.225693710628993960e-01
1.945298437561710642e-02,1.719786814086719101e-02
9.715828190944442166e-02,9.806885330795117595e-02
1.838800345881767828e-01,1.922322009161883394e-01
6.212599711817879018e-03,6.372326889165548687e-03
3.713952065177043090e-04,4.948422384942506103e-04
2.062150712132341732e-02,1.553463442018831672e-02
1.378331832266443957e-02,1.140287987910977054e-02
9.792700597316617711e-03,5.921100225166108302e-03
2.808689458392435792e-02,2.673939679692341476e-02
4.880699973702821992e-02,5.585591395297461598e-02
7.891000683246151073e-03,5.692822110682688001e-03
4.074268228349179656e-03,1.329565541275666649e-03
1.476589383691374359e-02,1.766347013158233586e-02
1.480518755659439578e-01,1.581233634415356859e-01
5.930930960260168833e-02,6.143162517066924622e-02
1.547262946470055744e-03,1.868737200564998943e-03
7.302933137279184195e-02,8.347876471772529283e-02
8.146175560278877403e-02,6.373453848540815148e-02
3.259973439113895283e-02,3.500269415412428364e-02
2.339319087688497209e-02,1.790608924577909503e-02
1.912424446040416615e-01,1.610179144244976157e-01
5.555431573288226177e-02,6.448706419247909882e-02
2.005987793464880480e-03,2.188889741640880071e-03
5.120717278428905256e-02,5.613354630531387085e-02
4.569492802123850390e-04,7.918986782395717641e-05
1.680026330363626821e-02,2.011655018443277848e-02
7.504916864532926515e-03,1.231496412533962526e-02
7.504981276572483817e-02,5.671067711289917018e-02
1.590870830447284334e-02,1.278380325806114694e-02
7.636238795472545526e-02,8.457070953642749356e-02
1.229566406557711794e-01,1.208509543568756089e-01
7.782677144844641270e-04,1.191344042398045358e-03
3.097979537185148735e-01,3.054576678145228263e-01
5.995627403652162291e-02,7.440602143716042172e-02
4.186314951061614886e-02,3.176038868888993172e-02
9.352995287572453062e-03,1.302426052548835006e-02
2.460772107322842933e-02,3.247346709597005027e-02
1.111776372960479875e-01,1.215429173532776852e-01
1.145669035469008574e-03,5.539238314217858478e-03
4.304361083887977418e-02,4.719263256625897546e-02
3.805401920764244286e-03,2.681093715630670886e-03
2.531316205983697581e-04,5.566686240323860582e-04
4.413321258081037701e-02,4.771716144176010865e-02
5.784678845172527839e-02,5.327266761190140726e-02
6.208629996655790073e-02,6.298381635415904733e-02
2.968003959909267658e-02,3.184435824226460737e-02
1.829016465242803979e-01,1.696565149910091996e-01
1.798207355257458173e-01,1.717542711210378326e-01
5.703855745883895309e-03,7.496925878032796413e-03
3.263054559994227246e-03,5.168345402372910785e-04
4.641503794612669154e-01,4.605255766757980207e-01
4.573360273713327762e-01,4.425164352135180779e-01
2.960612563561513255e-01,3.421427286717561578e-01
3.226624663519924319e-03,6.805814266920997765e-03
